Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
29-01-2019,AXISBANK,EQ,656.3,658.5,671,649.55,669.35,660.75,657.21,8302420,5.4564E+14,139965,3007226,0.3622
30-01-2019,AXISBANK,EQ,660.75,687.05,703.35,683.75,691,690.95,692.68,46912230,3.24951E+15,450032,21685605,0.4623
31-01-2019,AXISBANK,EQ,690.95,697.25,726.85,689.05,720.8,722.7,712.13,35239544,2.50953E+15,386855,13997883,0.3972
01-02-2019,AXISBANK,EQ,722.7,720.75,726.4,705.4,717.3,717.25,717.16,13792059,9.89112E+14,208032,6105419,0.4427
04-02-2019,AXISBANK,EQ,717.25,711.3,724.5,708,721.5,720.5,715.99,8195956,5.86824E+14,157232,3781849,0.4614
05-02-2019,AXISBANK,EQ,720.5,722,731.6,719.5,730,729.5,727.26,8665426,6.30199E+14,123392,2998629,0.346
06-02-2019,AXISBANK,EQ,729.5,731.3,734.5,715.6,726.1,725.75,726,8077340,5.86417E+14,123421,2476347,0.3066
07-02-2019,AXISBANK,EQ,725.75,726.25,733.8,724,730,730.15,729.42,7203465,5.25439E+14,108863,2376555,0.3299
08-02-2019,AXISBANK,EQ,730.15,727,732.8,716.25,721.15,719.4,722.97,7341956,5.30799E+14,143642,2923492,0.3982
11-02-2019,AXISBANK,EQ,719.4,719.9,719.9,705.3,713.3,710.85,711.04,7234953,5.14434E+14,139946,3682456,0.509
12-02-2019,AXISBANK,EQ,710.85,701,713.4,700,703.45,705.6,706.66,15856819,1.12053E+15,200620,6385618,0.4027
13-02-2019,AXISBANK,EQ,705.6,700,707.45,695.05,699.35,697.5,702.75,11399689,8.01117E+14,123170,6386260,0.5602
14-02-2019,AXISBANK,EQ,697.5,706,706.4,692.6,697,695,697.73,10383603,7.24491E+14,116597,5360642,0.5163
15-02-2019,AXISBANK,EQ,695,700,704,681.7,685.3,686.6,689.75,10866440,7.49516E+14,160260,5617790,0.517
18-02-2019,AXISBANK,EQ,686.6,686,697.7,680.7,692.4,693.3,689.27,7135564,4.91835E+14,151109,2878264,0.4034
19-02-2019,AXISBANK,EQ,693.3,693.3,705.4,689.65,691.7,693.05,700.08,6816325,4.77198E+14,136098,2489188,0.3652
20-02-2019,AXISBANK,EQ,693.05,697.6,703,695.3,699.6,700.35,699.96,5772687,4.04066E+14,101908,2655455,0.46
21-02-2019,AXISBANK,EQ,700.35,700.5,706.5,695.1,697,697.2,699.91,6674353,4.67147E+14,128858,3247608,0.4866
22-02-2019,AXISBANK,EQ,697.2,697.45,704.45,691.2,702,702.05,699.22,9822278,6.86793E+14,132234,5865788,0.5972
25-02-2019,AXISBANK,EQ,702.05,702.9,705.8,696.1,704.5,703.7,700.98,11428024,8.01077E+14,171807,7611491,0.666
26-02-2019,AXISBANK,EQ,703.7,694,715.6,693.05,709.9,710.15,704.99,9166951,6.46263E+14,147809,4609488,0.5028
27-02-2019,AXISBANK,EQ,710.15,714.95,727.8,713.05,717,718.2,720.08,13284424,9.56583E+14,217326,5836075,0.4393
28-02-2019,AXISBANK,EQ,718.2,723.45,723.45,706.4,709.55,709.55,710.06,26230891,1.86255E+15,236844,20151933,0.7683
01-03-2019,AXISBANK,EQ,709.55,713.5,714.95,699.55,702.45,702.4,705.25,7713824,5.44021E+14,116741,3785838,0.4908
05-03-2019,AXISBANK,EQ,702.4,705.7,733.9,700.7,733.85,732.05,719.06,11298428,8.12426E+14,230184,5375962,0.4758
06-03-2019,AXISBANK,EQ,732.05,733.9,733.9,712.55,719.2,720.6,721.27,10510670,7.58098E+14,188198,4759503,0.4528
07-03-2019,AXISBANK,EQ,720.6,720.75,739.45,720.75,734.25,733.75,730.16,11263734,8.22434E+14,188476,4417852,0.3922
08-03-2019,AXISBANK,EQ,733.75,732,737.25,728.4,732.3,733.4,733.09,7744794,5.67765E+14,116121,2994463,0.3866
11-03-2019,AXISBANK,EQ,733.4,733.3,744.9,730.6,736.6,734.5,738.39,9421608,6.95681E+14,173686,4058187,0.4307
12-03-2019,AXISBANK,EQ,734.5,738.7,749,738.55,742.6,742.55,743.7,8131901,6.04767E+14,142354,4317539,0.5309
13-03-2019,AXISBANK,EQ,742.55,743.6,751,736.5,738.25,738,742.61,12333789,9.15917E+14,154046,5969166,0.484
14-03-2019,AXISBANK,EQ,738,740,749.7,737.4,741.3,740.6,743.02,7100875,5.27607E+14,117682,3053248,0.43
15-03-2019,AXISBANK,EQ,740.6,742.95,748.95,731.7,736.5,735.1,739.7,14560368,1.07703E+15,155385,9011499,0.6189
18-03-2019,AXISBANK,EQ,735.1,741,756,740.25,754.4,751.6,748.39,9823043,7.35145E+14,125832,2474319,0.2519
